state,district,financial_year,households_demanded,households_offered,households_availed,person_days_lakhs,expenditure_lakhs,avg_wage_rate,works_completed
Maharashtra,Satara,2022-23,24487.0,23596.0,21051.0,8.375,2899.28,273,246.0
Maharashtra,Satara,2023-24,19534.0,18582.0,17036.0,7.02,2359.77,289,152.0
Maharashtra,Sindhudurg,2014-15,12001.0,11240.0,,4.057,826.71,162,125.0
Maharashtra,Sindhudurg,2015-16,12081.0,11638.0,11213.0,4.174,906.76,174,112.0
Maharashtra,Sindhudurg,2016-17,12786.0,11827.0,10956.0,4.324,986.49,183,145.0
Maharashtra,Sindhudurg,2017-18,14657.0,14471.0,13321.0,5.078,1176.46,194,110.0
Maharashtra,Sindhudurg,2018-19,,11836.0,11235.0,4.508,1181.29,203,83.0
Maharashtra,Sindhudurg,2019-20,14670.0,14462.0,12944.0,5.232,1417.8,213,123.0
Maharashtra,Sindhudurg,2020-21,20783.0,20225.0,18217.0,7.237,2275.45,238,191.0
Maharashtra,Sindhudurg,2021-22,18329.0,18144.0,16332.0,6.137,1905.25,256,136.0
Maharashtra,Sindhudurg,2022-23,16556.0,,15876.0,5.677,1944.48,273,163.0
Maharashtra,Sindhudurg,2023-24,14126.0,13197.0,12241.0,4.695,1775.24,289,108.0
Maharashtra,Solapur,2014-15,21518.0,21280.0,20461.0,7.119,1580.98,162,160.0
Maharashtra,Solapur,2015-16,19053.0,18276.0,16914.0,6.554,1529.21,174,163.0
Maharashtra,Solapur,2016-17,22864.0,21564.0,19223.0,8.02,1846.99,183,260.0
Maharashtra,Solapur,2017-18,19244.0,18727.0,17413.0,6.817,1623.39,194,159.0
Maharashtra,Solapur,2018-19,22150.0,20804.0,18429.0,7.545,1889.79,203,210.0
Maharashtra,Solapur,2019-20,24480.0,22787.0,,8.197,2279.55,213,209.0
Maharashtra,Solapur,2020-21,37440.0,,,12.588,3764.55,238,420.0
Maharashtra,Solapur,2021-22,25879.0,24176.0,22710.0,9.234,3208.28,256,260.0
Maharashtra,Solapur,2022-23,23268.0,21895.0,20208.0,8.042,2832.19,273,175.0
Maharashtra,Solapur,2023-24,25602.0,24828.0,21889.0,8.965,3380.0,289,259.0
Maharashtra,Thane,2014-15,8171.0,7980.0,7533.0,2.754,520.08,162,71.0
Maharashtra,Thane,2015-16,,7566.0,6810.0,2.899,618.88,174,72.0
Maharashtra,Thane,2016-17,9293.0,9151.0,8218.0,3.119,746.94,183,57.0
Maharashtra,Thane,2017-18,10454.0,9626.0,9131.0,3.469,885.56,194,115.0
Maharashtra,Thane,2018-19,9621.0,8903.0,8515.0,3.309,842.46,203,94.0
Maharashtra,Thane,2019-20,10245.0,9535.0,9025.0,3.517,869.7,213,106.0
Maharashtra,Thane,2020-21,12682.0,12120.0,,4.392,1375.43,238,133.0
Maharashtra,Thane,2021-22,12513.0,11704.0,10788.0,4.455,1495.13,256,135.0
Maharashtra,Thane,2022-23,10421.0,9863.0,9435.0,3.486,1132.47,273,
Maharashtra,Thane,2023-24,,9439.0,9145.0,3.443,1168.25,289,67.0
Maharashtra,Wardha,2014-15,19065.0,17634.0,16272.0,6.684,1456.11,162,152.0
Maharashtra,Wardha,2015-16,19529.0,18677.0,17852.0,6.541,1467.03,174,223.0
Maharashtra,Wardha,2016-17,20904.0,20526.0,18966.0,7.483,1689.19,183,154.0
Maharashtra,Wardha,2017-18,20760.0,19515.0,17418.0,7.48,1868.94,194,187.0
Maharashtra,Wardha,2018-19,,21355.0,19973.0,8.163,2114.01,203,237.0
Maharashtra,Wardha,2019-20,20917.0,19607.0,18059.0,7.56,2060.28,213,240.0
Maharashtra,Wardha,2020-21,35010.0,33663.0,29689.0,12.061,3735.89,238,287.0
Maharashtra,Wardha,2021-22,26215.0,25554.0,24654.0,9.398,2915.51,256,265.0
Maharashtra,Wardha,2022-23,26071.0,,23818.0,9.186,3452.59,273,318.0
Maharashtra,Wardha,2023-24,25001.0,23958.0,21399.0,8.68,3183.3,289,301.0
Maharashtra,Washim,2014-15,29448.0,28829.0,26209.0,10.217,2260.96,162,353.0
Maharashtra,Washim,2015-16,31870.0,,28407.0,11.392,2626.37,174,302.0
Maharashtra,Washim,2016-17,30521.0,30066.0,27817.0,10.617,2837.2,183,237.0
Maharashtra,Washim,2017-18,34194.0,32531.0,29445.0,11.439,3191.2,194,
Maharashtra,Washim,2018-19,35320.0,32955.0,29894.0,11.695,3038.68,203,288.0
Maharashtra,Washim,2019-20,39307.0,36661.0,34488.0,13.36,3769.2,213,321.0
Maharashtra,Washim,2020-21,54181.0,51615.0,47099.0,18.356,6279.87,238,508.0
Maharashtra,Washim,2021-22,45078.0,42552.0,37595.0,15.026,5265.44,256,302.0
Maharashtra,Washim,2022-23,47274.0,,41843.0,15.972,6338.56,273,452.0
Maharashtra,Washim,2023-24,36935.0,36547.0,33284.0,12.517,4721.34,289,335.0
Maharashtra,Yavatmal,2014-15,36921.0,35551.0,31330.0,13.139,3048.71,162,295.0
Maharashtra,Yavatmal,2015-16,38746.0,36297.0,32836.0,13.879,3050.08,174,315.0
Maharashtra,Yavatmal,2016-17,37867.0,35858.0,32649.0,13.227,3192.28,183,258.0
Maharashtra,Yavatmal,2017-18,43418.0,42244.0,40941.0,15.417,4284.15,194,409.0
Maharashtra,Yavatmal,2018-19,43492.0,42368.0,40199.0,15.282,4394.4,203,
Maharashtra,Yavatmal,2019-20,52007.0,,46097.0,17.541,5352.32,213,343.0
Maharashtra,Yavatmal,2020-21,75288.0,69756.0,65505.0,25.385,7632.02,238,789.0
Maharashtra,Yavatmal,2021-22,53409.0,52339.0,46519.0,18.28,6125.64,256,457.0
Maharashtra,Yavatmal,2022-23,51813.0,48629.0,44512.0,17.984,6565.02,273,592.0
Maharashtra,Yavatmal,2023-24,51549.0,48962.0,44531.0,17.192,6716.71,289,431.0
